"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Deny.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 3, 49, 162
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_ExternalLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 0, 10, 39, 149
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_LanguageSelectButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 15, 63
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_LanguageSelectConfirm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 10, 61
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_ModalDismiss.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 0, 8, 29, 113
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_NavBarDestination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 13, 22, 92
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_NavMenuButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 21, 68
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_NavOptions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 13, 48
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Normal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 10, 42, 162
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Normal_Locked.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 137, 0, 0, 0, 15, 64, 216
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_PhoneNumber.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 20, 45, 173
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Prep_Confirm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 11, 73, 211
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Prep_Destination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 4, 49, 158
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Selection_Confirmation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 0, 16, 70, 222
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Selection_Multi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 1, 25, 141
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Selection_Results.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 8, 27
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Selection_Single.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 2, 37, 157
